	B_cell	CD4+_T_cell	CD8+_T_cell	Endothelial_cell	Epithelial_cell	Fibroblast	Macrophage	Mast_cell	Myeloid_cell	NK_cell	Plasma_cell
MMP23B	0.000930190803703796	0.00191954356289101	0.00692617739399146	0.0024429227287403	0.00492062477915591	0.309607665436063	0.00227559809770172	0.00319849811663976	0.00219051787797939	0.0145075389259784	0.00228739556105848
CDK11B	0.0934127339791732	0.0673750640642888	0.0855353700224597	0.0984723436281121	0.0894551321922099	0.0622398014437251	0.0507805848949517	0.0899853947983162	0.0662240587061328	0.0904446954929942	0.0328641878954953
SLC35E2B	0.0277390358575467	0.0286709810948142	0.0322021700181037	0.0333445902126393	0.0301115195843204	0.0371645804764727	0.0199501514558935	0.021465413201974	0.0182782940073492	0.0256666906290264	0.0201141537630602
CDK11A	0.0849406426176925	0.0753884271332678	0.0864774585026582	0.0753818098764709	0.0950966704018645	0.0391389877275403	0.0397136356011454	0.0745968375841034	0.0609245870704903	0.0901631450119044	0.0276398850606751
NADK	0.0491688607408086	0.0219037964257505	0.0250484240288298	0.0651004593829792	0.0868190268197057	0.0323829073597671	0.126571162692032	0.0193287146197123	0.082112978265575	0.0390840386744867	0.0201663064134236
GNB1	0.0975979988766052	0.100986171735201	0.115062733772981	0.410592229241631	0.138179704086971	0.196029532912701	0.202875973730985	0.128737394858066	0.235165595696335	0.131281075199667	0.0281105770029856
TMEM52	0.00139528620555569	0.000863794603300956	0.00211600134265572	0.00102859904368013	0.0235153524965096	0.00116635342882683	0.000568899524425431	0	0.00114239337545932	0.00284513978680326	0.011187950792488
PRKCZ	0.0167961220245553	0.0263149939110732	0.0315877576798695	0.0321777490651382	0.0461980700348615	0.0147947735657715	0.00370751393401615	0.0209945251717023	0.00750908910120011	0.0356984823642262	0.0134315012538842
AL590822.2	0	0	0	0	0	0	0	0	0	0	0
SKI	0.0757302173680919	0.0787190991404938	0.107799520516703	0.17156922599208	0.0339973025092392	0.101914996467247	0.0639106429760789	0.0773964074342947	0.084521649997598	0.133882166432055	0.0133595689838843
MORN1	0	0	3.918521004918e-05	0.000257149760920032	0.000679520996369587	0.000249932877605749	0	0.000235444015135851	0	0.000177821236675204	8.76901993244285e-05
RER1	0.14662142525068	0.173087294519994	0.192679539808919	0.215459648046361	0.302281382837063	0.340517011107872	0.2644381132799	0.167829099887	0.203649892581223	0.193275530868117	0.115480366751629
PEX10	0.0263817498838844	0.0155646117815519	0.0166507680330622	0.0310836057612152	0.03490936710048	0.0410801955589628	0.0240268939812549	0.0289019035910591	0.0189922898670113	0.0235026195150254	0.0148527418035945
PLCH2	0.00635630382530927	0.00835001449857591	0.00995304335249172	0.000514299521840063	0.0103304939466254	0.000166621918403833	0.000227559809770172	0.000706332045407553	0.000713995859662078	0.0179599449041956	0.00105228239189314
PANK4	0.0148187088484238	0.0136450682186608	0.0181989668656026	0.0262729717873385	0.013585041876606	0.0267852877484028	0.0117858871808573	0.010399544490589	0.010995536238796	0.0174566974680685	0.00854979443413178
TNFRSF14	0.238368563153165	0.264175250878659	0.214269369135838	0.192950873401381	0.203529369965527	0.119250462178394	0.306089733223835	0.157876275770483	0.20874821569963	0.161695705666958	0.117935610265045
FAM213B	0.0107235380215372	0.017248758718281	0.0133429470573436	0.0601440423852045	0.0712803962844644	0.0171274804234251	0.0252312500077992	0.00918231659029819	0.0111868657097216	0.0151450213912909	0.00578755315541228
MMEL1	0.000775159003086497	0.00235144086454149	0.0009796302512295	0.00655731890346081	0.0255599927280546	0.00483203563371116	0.00238937800258681	0.00400254825730947	0.00228478675091865	0.000355642473350408	0.000701521594595428
LINC00982	0	0	0	0.000642874402300079	0.00641676303696618	8.33109592019165e-05	0	0	0.000428397515797247	0	0.000175380398648857
PRDM16	0.000620127202469197	0.00062385165793958	0.00047022252059016	0.0072754047893647	0.0356576693695704	0.00233270685765366	0.000682679429310517	0.00141266409081511	0.00396337495238629	0.00160039113007684	0.00118381769087979
ARHGEF16	0.00155031800617299	0.00158362343938509	0.00186462675077311	0.00444675741924435	0.118068663661221	0.00338117215510889	0.00291105459982055	0.00639699623327952	0.00257038509478348	0.00231167607677765	0.00583555203042508
MEGF6	0.00418585861666708	0.00830202590950364	0.00446711394560652	0.00894687823534491	0.0198736495997902	0.0102268274245286	0.00819215315172621	0.00400254825730947	0.00214198757898623	0.00266731855012806	0.00131535298986643
TPRG1L	0.0148450526273673	0.0118015847699119	0.013783589152598	0.0491811485959689	0.0369013514972305	0.0246537799813227	0.0176358852571884	0.00871142856002649	0.0155893748901299	0.0150712189099025	0.0127299796592888
WRAP73	0.0310737350073405	0.045262410263808	0.0477882788329639	0.0468231045741934	0.0375889395697787	0.0394343969322316	0.0260555982186847	0.033197606134155	0.0219318054663741	0.0496124145432541	0.019595462945737
TP73	0	9.59771781445507e-05	0.000453959189002632	0.000385724641380047	0.000685598238805807	0.000166621918403833	0	0	0	0	0.000350760797297714
SMIM1	0.00591755220240087	0.0043271274775721	0.00289010075892592	0.0024429227287403	0.0137220216860371	0.021321341613246	0.0111032077515468	0.13817096155637	0.00479590483448421	0.013544630261214	0.0210679989737329
LRRC47	0.032343364064266	0.0507823917565742	0.0591036719402355	0.0653479419205383	0.0517842869741904	0.0552588439681245	0.0347716523657698	0.0427399931459571	0.0338704606225261	0.07136380774111	0.0272212136836895
CEP104	0.0282684752702355	0.0327020225768853	0.0382633265531739	0.0496105694108442	0.0318133606964625	0.0364352024009626	0.0272986223462324	0.0226426332776532	0.0225515324530969	0.048297050300983	0.0174396026836652
DFFB	0.00542611302160548	0.00772616284063633	0.00834644974047534	0.0105431401977213	0.00590110338952536	0.00891427263460507	0.00512009571982888	0.00965320462056989	0.0045695735018373	0.0124474865672643	0.00464758056419471
C1orf174	0.04648622727929	0.0421593827659914	0.0498983876999411	0.0431914926112043	0.0423382186598377	0.0541962220558067	0.0439019336332667	0.0508382048233047	0.0284655655135439	0.0672971827580471	0.016098601954656
LINC01134	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0.00651133562592657	0.0062385165793958	0.007837042009836	0.0154289856552019	0.0126423755907658	0.0136629973091143	0.0102401914396578	0.00824054052975478	0.0104243395510663	0.008713240597085	0.004910651162168
KCNAB2	0.0573885770465691	0.115415734180614	0.146585661297239	0.0157008299195342	0.0165094176134266	0.0111009137697894	0.147667853268103	0.0292219661879514	0.098228043760914	0.122278752286316	0.016259938768136
CHD5	0	0	0	0	0	0	0	0	0	0	0
RPL22	1.92912753543596	1.71276567128797	1.51084148316943	1.64333990978986	1.50122182474208	1.67736439438291	1.28623243486141	1.82855164629228	1.58449930556942	1.5079763393813	0.694828320618402
RNF207	0.00217044520864219	0.00619052799032352	0.00289970554363932	0.00984690239856502	0.0196170478331262	0.00966407126742231	0.00216181819281664	0.00400254825730947	0.00414117598604005	0.00355642473350408	0.004910651162168
ICMT	0.0158426183149517	0.02888126529536	0.0356329091223388	0.106509111811181	0.0585970294735445	0.0970607759076283	0.0341276410374627	0.0243930624113998	0.0154115738564761	0.0365945413610339	0.010713105074827
LINC00337	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	0	0	0.000128574880460016	0.00245020160905244	0.00174953014324025	0.000227559809770172	0.000235444015135851	0.000428397515797247	0	0
ACOT7	0.00825771653765396	0.032581011103378	0.0608440845139869	0.137030678603341	0.0957366295330483	0.045506826529029	0.03674902764607	0.222779650189444	0.026312621030695	0.0749405552216371	0.00481228536518302
HES2	0	0	0	0.000128574880460016	0.00223830505664438	0	0	0	0	0	0
ESPN	0.00294560421172869	0.0106779301572471	0.00296181263215015	0.00226098445142408	0.0731683443204767	0.0014995972656345	0.00125157895373595	0.00258988416649436	0.00179712222390348	0.00408988844352969	0.00135919808952864
TNFRSF25	0.0164364017384774	0.232751265223615	0.0722426489489792	0.0788315148910966	0.0257517841750517	0.00789412056687493	0.0112450617782597	0.0175428805938876	0.011329664881654	0.0364873943547353	0.00448710092279254
PLEKHG5	0.000310063601234599	0.00235144086454149	0.00144985277181966	0.0657357928652023	0.00811848769346822	0.00308250549047091	0.00591655505402448	0.000470888030271702	0.000713995859662078	0.000711284946700816	0.001227662790542
NOL9	0.0331651488791522	0.0341181550431832	0.039063294085745	0.0463525012258485	0.0285291257459512	0.0319505672189217	0.0204246051259355	0.0252325174441476	0.0216462071225092	0.0492901752396459	0.0124669090613155
ZBTB48	0.0270018770863536	0.0225075864522288	0.0268588982864714	0.0272263593474148	0.0371307805852968	0.0271735293146873	0.0323328270378662	0.0539389848446823	0.0286433665471976	0.0305718827745438	0.0160183621339549
KLHL21	0.0177643130601525	0.028674589236682	0.0358043269022552	0.032937226817359	0.0610936555008569	0.0334988982715884	0.0605292130121909	0.0280001353551272	0.100976497175665	0.0311657790323664	0.0265518654270773
PHF13	0.00573617662284008	0.00940576345816597	0.0121082299051966	0.0237329894882467	0.0113791128658851	0.0264095740670075	0.0101929685124661	0.0131848648476077	0.0158507080844981	0.00960234678046102	0.00401555180840427
THAP3	0.0135141104326485	0.0170966384899968	0.0227473974691468	0.0311588172448191	0.0212743584144724	0.0433500120147217	0.0179300020446519	0.0213276872821003	0.0188737558445754	0.0315347914393081	0.0231436194151036
DNAJC11	0.0268731890646798	0.0217596860910749	0.0244752590203455	0.038196616052833	0.0435771724149735	0.0291525717782262	0.0203193800472387	0.0178937451503247	0.0177070973196195	0.0299041840353328	0.0105302742975548
CAMTA1	0.105481307802188	0.0991981364311579	0.10420740595314	0.354961779153666	0.189671353486172	0.274285267424093	0.155605669204196	0.134671942273029	0.158296300782661	0.0908145764325525	0.0523885043590746
VAMP3	0.0364387872985291	0.0413105325627914	0.0432987247446571	0.24846996004404	0.106036258121892	0.196231396911132	0.193790135257141	0.101149287282893	0.117684197988295	0.0496696168667351	0.0153937837567878
PER3	0.00589120842345737	0.00971000391473426	0.00908802249357048	0.0452827196486988	0.0272814639508064	0.0416870502906301	0.0310641384317537	0.0223494789918668	0.00699715942468836	0.0103136317271618	0.00420912956757257
UTS2	0.00868178083456876	0.0233288769629886	0.0414122265220521	0.00470390718016438	0.00495370001672987	0.00196488584867631	0.0399947487661704	0.0757633875842714	0.0155786381779051	0.0447842117749687	0.00341991777365271
TNFRSF9	0.0120575110892996	0.145149766576383	0.106502175797056	0.0130711509662737	0.0113117882042854	0.0252230713581283	0.0288446885777076	0.128157764162923	0.0388093971203683	0.0814210068025459	0.00456404414022087
PARK7	0.30192925021976	0.428336834291512	0.443311028809003	0.551157241118212	0.405385662897297	0.733367664563556	0.371155266977436	0.406499803889986	0.38672847106826	0.459659729306869	0.142308177948182
ERRFI1	0.0266218747674196	0.0424047862074968	0.0587307900160101	0.0494048660763436	0.193164080070247	0.387717394339702	0.0461782727115199	0.0327359239689501	0.0650711575033841	0.0458828030232794	0.00629965076619
RERE	0.0723800358946475	0.0474514183070915	0.0353742279593295	0.126967212307736	0.084631961785693	0.0837577069350734	0.0589361090986618	0.0912556523880982	0.0554629841839115	0.031820107837986	0.0218142228400683
ENO1	0.314785259679209	0.515769874207378	0.528741316053253	0.6098483672564	0.580123463853609	0.82914610681057	1.02156962688904	0.460126649367692	0.752751681042176	0.54106754554482	0.0655771360331333
ENO1-AS1	0	0	0	0	0	0	0	0	0	0.000177821236675204	4.38450996622143e-05
SLC2A5	0.0205168852393705	0.000335920123505928	0.00290047161483489	0.000771449282760095	0.00249473213984834	0.0172061561701558	0.241634428373778	0.0010795019804171	0.00773542043384702	0.000355642473350408	0.0187108325899881
GPR157	0.00868178083456876	0.00326322405691472	0.00276588658190425	0.0102859904368013	0.0113939563761504	0.00626247855500628	0.0157962579736631	0.00625927031340582	0.0860836807924855	0.00373424597017928	0.00879367150756715
H6PD	0.0158015872100146	0.0154007289503326	0.0186625308393187	0.0544648995582162	0.0205381524024345	0.0572583069889705	0.0318304844911342	0.0296082356364666	0.0293951559936281	0.0213989809488215	0.00573296107385397
SPSB1	0.0239012410740076	0.0257953520225989	0.0297830578509635	0.054144719177079	0.0184402153722645	0.0876643431696817	0.0199116686000279	0.0364984252785903	0.0288132225936737	0.0193691448640059	0.0108305967886447
SLC25A33	0.117848667860873	0.061504154834961	0.0724476402586395	0.0472018849650854	0.0781875364196622	0.0485830680770554	0.0772078213482447	0.117946211333317	0.110212204999587	0.0981218039656709	0.0246211663905279
TMEM201	0.00434089041728438	0.00441495019464933	0.00740600469929502	0.0181290581448622	0.00865495163797053	0.00866433975699932	0.00523387562471397	0.00682787643893968	0.00585476604922904	0.008713240597085	0.00192918438513743
PIK3CD	0.0559841982218823	0.0676913330745639	0.0928871612288305	0.00876493995802869	0.00867657158232255	0.0100947826782944	0.030323456850938	0.0328467415777179	0.0385235662850779	0.120929738691903	0.00280608637838171
CLSTN1	0.0371640372093959	0.0636683322298717	0.0688693627165438	0.176023314998554	0.105377940302893	0.118344533866207	0.0368884720295199	0.0497679087079545	0.0310711849614743	0.0667305620606792	0.0201688886130897
CTNNBIP1	0.0208299797136488	0.0308487974473233	0.0439173698212463	0.0950731010335752	0.100977421576844	0.0498232110626928	0.0654687866043034	0.040741020483569	0.0637210710064951	0.0564837800014741	0.017209630203458
LZIC	0.027493316267149	0.0368806379680411	0.0415578304351443	0.0463525012258485	0.0438598400738447	0.0760236933667088	0.0616237099186502	0.0459338883300634	0.0430903480618682	0.0398185870816544	0.00833056893582071
NMNAT1	0.00620127202469197	0.00422299583836023	0.00399689142501636	0.0192862320690024	0.00897683000467191	0.0125799548394894	0.0142224881106358	0.00988864863570574	0.0104243395510663	0.00551245833693132	0.00302531187669278
UBE4B	0.0356193139100854	0.0386725246858499	0.0373125106560846	0.0499210825686204	0.0321580362744676	0.0381501553720332	0.0384490530249709	0.041615880408395	0.0331186711760957	0.0347791599069516	0.0247253396062161
KIF1B	0.0129846710199597	0.0144771831550242	0.0174344722340458	0.106040844098968	0.0344275401100837	0.0487246545254867	0.109586202650591	0.0196795791761493	0.0828538333032429	0.0188054648800818	0.00860108991241734
PGD	0.0702622782438923	0.0758495802211278	0.0879958307663863	0.0965052608606153	0.132325770740245	0.09910460878029	0.404222524072097	0.178762228937601	0.258848438618742	0.102644324259783	0.0391413447573441
CORT	0	0	0	0.00187525981004404	0	0	0	0	0	0	0
DFFA	0.0396445460192727	0.0301551637816456	0.0415255398658552	0.122197760867329	0.0527322817974273	0.0576764905149534	0.0352267719853102	0.0373824910684831	0.0324289404659302	0.0649320269469042	0.0120979509034984
PEX14	0.012338200038547	0.0152123827359113	0.01979518962171	0.0226510270477104	0.0194024622553253	0.025909708311796	0.0159291866839121	0.0126162587220738	0.0091391470036746	0.0209091034462857	0.0106543592179181
CASZ1	0.0145349890261327	0.0125377225281307	0.0233788392101641	0.0300234914074265	0.075914950312275	0.00216608493924983	0.00341339714655259	0.0158147568387136	0.011162600560225	0.0232812120708604	0.00381452367061264
TARDBP	0.0746264815670765	0.0544976645699021	0.0581227647364797	0.129192072834695	0.0797282634360884	0.0740009389446852	0.0630515197250266	0.068354886390181	0.0742427036469733	0.0574367951393629	0.0311492180612405
SRM	0.0677498687237374	0.0690884667872275	0.107680203978079	0.168793953093416	0.128690031710822	0.175229820712968	0.0551538538510397	0.0785813000688182	0.054940317795175	0.122528347152025	0.169819996647699
EXOSC10	0.0655789187003425	0.0597882384079929	0.0704393983690193	0.0715875940828876	0.0624085366193168	0.0569204279396916	0.0461518672524036	0.055183121056079	0.0313000755277426	0.0713806540814172	0.0188584038021805
MTOR	0.0274026284773686	0.0278787002864558	0.0310621504151088	0.0544648995582162	0.0341029727179895	0.0310341466677006	0.0222450836040969	0.0273915214049818	0.0211585425954941	0.034306128744723	0.0138079097903247
UBIAD1	0.046433539721403	0.0384724158684935	0.0417278883690893	0.0313407555221353	0.0278637490681964	0.0304226567235621	0.0258001495322246	0.0259746377081889	0.0169338344487395	0.0395669633635908	0.0137930090330781
FBXO2	0.00629195981447237	0.00591890537802451	0.0115566907266688	0.00207904617410787	0.0374083526180514	0.00994231737475315	0.00091023923908069	0.00211899613622266	0.00236831891163315	0.0338499439228016	0.0087657233291701
FBXO44	0.0347154668853251	0.0331855166094759	0.0436450174236598	0.010950712925849	0.0206663659440364	0.0342832740765753	0.0204052710754338	0.00541521234812457	0.0126498592907671	0.0525345437072894	0.01541527772058
FBXO6	0.0233981454402623	0.0161450211696186	0.0377568650603739	0.0121612502468453	0.0318370287023769	0.0247716681126943	0.0519996409306095	0.010732706600987	0.0552310694011705	0.068659609614524	0.0168257712883942
MAD2L2	0.0470891033219468	0.0605181097528556	0.100038870202311	0.0810269237533249	0.0420806669035711	0.0938369755457867	0.0738628350872349	0.0351657768369983	0.108196243747151	0.143450198181685	0.029530960380618
DRAXIN	0	4.79885890722754e-05	0.0005877781507377	0	0	0	0.000113779904885086	0.000235444015135851	0	0.0044455309168801	4.38450996622143e-05
AGTRAP	0.0275373782451298	0.0611239365279276	0.094800848720149	0.113336180004643	0.0604353258869272	0.229659199165097	0.216002852007864	0.111913945823092	0.171959992488291	0.116536483861177	0.00805675135595133
C1orf167	0	0	0	0.000128574880460016	0.00227138029421834	0.00179826393027248	0	0	0	0	0
MTHFR	0.0426104322638575	0.011621393016558	0.0149665700721431	0.0426675258660033	0.0720831629198214	0.0313957037342333	0.0478091185003631	0.0226426332776532	0.0734013459066708	0.0174566974680685	0.0135479968036836
CLCN6	0.039536140030455	0.00831018037057096	0.0106812990118386	0.0246985579117097	0.0192000311623968	0.0175440352194347	0.0253643639631859	0.0117722007567925	0.0330108738658846	0.0112027379105379	0.00651472248915049
NPPA-AS1	0	0	0	0	0.000214585577800922	0	0.000227559809770172	0	0.000571196687729662	0	0
KIAA2013	0.0100770670401245	0.0116974531307	0.0141754412530898	0.0778024971817219	0.0565730945122827	0.0425516152334996	0.0402888655536339	0.0197195870007609	0.02414658849385	0.015648268827418	0.0142463607869469
PLOD1	0.00838640455932776	0.0080802682409402	0.0155640710545371	0.209205299734741	0.0615686763755636	0.432375560024216	0.128227115767556	0.0326959161443386	0.0298963489579151	0.0300119687082077	0.0200604188535798
MFN2	0.0284090721522356	0.0261664818246569	0.0305364155554158	0.0495668732373489	0.042724907346206	0.0326516320647067	0.0289387639418153	0.034592567778931	0.0346894620673522	0.0326891807852112	0.00977745722467378
MIIP	0.067419018274894	0.086206426488169	0.0693933006959915	0.0541400792337693	0.0668230254383314	0.0524138791089975	0.0733604925405029	0.167306181766227	0.0750777927626927	0.063157290986868	0.0190370808041022
TNFRSF8	0	0.00139982354416331	0.000375588768904272	0	0.000107292788900461	0.00079853241984948	0.00113779904885086	0.00343394213177561	0.000428397515797247	0	0
TNFRSF1B	0.147648744677638	0.361495157208784	0.378172966899365	0.124515261428777	0.0481108021046786	0.0318989625880189	0.458022402969308	0.0264943561015833	0.62236207124171	0.440928205503737	0.0102533028828837
VPS13D	0.0356456576890289	0.0412240743677478	0.0404968835259772	0.060056650038214	0.0441203545657425	0.055100250360766	0.0386487239580511	0.042930826403948	0.0482931769877001	0.0385738384249279	0.0111366553142024
DHRS3	0.00430289018539098	0.0371547502839824	0.0326593753362978	0.0730073950426466	0.107275835411997	0.114151330569717	0.219517951662552	0.00983093836505513	0.0376912688944056	0.0897607294352205	0.00276639505407008
PDPN	0.0010852226043211	0.00120426104600637	0.000983342560264345	0.00920209706254742	0.00126998093114737	0.68105767950442	0.0524242753285881	0.000470888030271702	0.00692715570124568	0.00109714369394973	0.000288718337116063
PRDM2	0.393886746541018	0.164270637984194	0.132582923822981	0.0654258763770151	0.0474295128487262	0.0523526174370761	0.0645288045806833	0.0925394130975508	0.110368997591642	0.170876805006546	0.0670149272069125
TMEM51	0.000620127202469197	0.000527874479795029	0.00094044504118032	0.0252225246569107	0.0550804609271558	0.0540312288673762	0.1383228582921	0.00282532818163021	0.0517691199044968	0.00195603360342724	0.00206071968412407
FHAD1	0	0	3.918521004918e-05	0.000257149760920032	0.00107292788900461	0.000249932877605749	0.00450397326821176	0	0.000428397515797247	0	4.38450996622143e-05
EFHD2	0.0648949523017892	0.0925351058789435	0.102595452716312	0.111271870737501	0.305025023140456	0.0498611813334366	0.218479253566459	0.144689053594525	0.328351904653584	0.158132171215174	0.0319228753951099
CASP9	0.0773147475109855	0.0154333467946018	0.0179017485167967	0.021054765085334	0.0226900854228799	0.0228146749364359	0.0325797208981381	0.013460316687355	0.0445430699135401	0.0438951055915927	0.00746111732119977
DNAJC16	0.0147280210586434	0.0126653793732129	0.0105253242428375	0.0322092643752468	0.0188093132951546	0.020508652578534	0.0214099561688979	0.0128917105618212	0.0143284474922347	0.0158127201305018	0.00710290614527871
AGMAT	0.0106328502317568	0.00860626636607193	0.00708291823418818	0.00205719808736025	0.0438855474268906	0.000999731510422998	0.000796459334195604	0.00164810810595096	0.00199918840705382	0.00622374328363214	0.00223610008277293
DDI2	0.0271072522021276	0.0259881664259662	0.0277158465030704	0.082470249108468	0.0284130666892217	0.0252998470976309	0.0340975277626476	0.0134203088627435	0.0293116238329136	0.0342491726036419	0.00671575062694212
PLEKHM2	0.0258143102393022	0.0157284946127712	0.0153968413114885	0.0724120194257622	0.0350895285707951	0.0363943612863483	0.0889353358873212	0.0189155368600912	0.076298367340198	0.0170708387208196	0.0123899658438872
SLC25A34	0	0	0	0.000385724641380047	0.000178821314834102	0	0.00136535885862103	0	0.000571196687729662	0	0
